Time	CFP	YFP	
Seconds	mV	mV	
			
460	1473,07	4681,68
461	1486,09	4636,51
462	1499,11	4592,97
463	1500,34	4543,12
464	1477,14	4555,64
465	1480,19	4484,12
466	1459,44	4532,75
467	1447,03	4482,08
468	1370,53	4563,67
469	1521,70	4495,11
470	1482,43	4430,20
471	1513,46	4459,20
472	1501,96	4472,12
473	1561,78	4455,23
474	1512,95	4467,03
475	1486,50	4453,80
476	1549,17	4468,45
477	1539,81	4464,79
478	1602,58	4391,75
479	1652,12	4394,60
480	1611,43	4349,83
481	1652,73	4336,81
482	1655,37	4380,76
483	1746,32	4357,97
484	1716,11	4273,03
485	1689,15	4295,31
486	1659,04	4263,36
487	1694,85	4265,80
488	1705,63	4290,42
489	1713,56	4285,13
490	1761,99	4303,85
491	1763,62	4209,04
492	1733,81	4219,31
493	1726,59	4205,99
494	1757,72	4142,71
495	1810,82	4161,02
496	1793,53	4119,92
497	1856,19	4155,73
498	1823,54	4176,59
499	1790,68	4108,93
500	1792,92	4140,27
501	1796,17	4144,95
502	1843,17	4130,30
503	1810,01	4077,40
504	1878,37	4128,67
505	1843,98	4157,66
506	1829,13	4110,97
507	1820,99	4117,28
508	1871,05	4056,85
509	1875,93	4091,44
510	1843,98	4097,54
511	1829,74	4106,09
512	1899,22	4084,11
513	2000,85	4048,30
514	1911,13	4064,99
515	1878,98	4091,44
516	1894,85	4095,51
517	1935,34	4070,28
518	1893,43	4037,11
519	1910,31	3931,11
520	2000,65	4002,73
521	1940,02	4048,71
522	1963,62	4056,44
523	2003,09	4041,18
524	1904,41	3998,66
525	1935,75	3982,79
526	1939,21	3883,90
527	1932,08	3986,65
528	1953,65	3995,61
529	1935,54	4027,55
530	1948,97	3953,08
531	1946,94	3938,43
532	1964,54	4020,63
533	1943,07	3975,46
534	1965,05	3913,81
535	1866,37	3887,77
536	1967,28	3908,52
537	1942,87	3946,16
538	1941,65	4022,67
539	1894,95	3944,64
540	1949,99	3952,88
541	2065,15	4001,91
542	2005,13	3965,70
543	1939,00	3973,83
544	1942,26	3949,22
545	1952,94	3968,75
546	1972,78	3955,32
547	1979,49	4001,30
548	1975,42	4004,56
549	1963,21	4046,88
550	1983,76	3928,67
551	1965,86	3920,32
552	1985,29	3901,61
553	2015,91	3932,74
554	1956,30	3879,63
555	1974,20	3909,54
556	1983,56	3939,86
557	2002,69	3938,03
